Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
										
										
										
										
										
										
										
										
			545	0.0	545					
										
		Наименование товаров	Розница		Розница	Дилер				
		Краткое описание характеристик	KZT		USD	USD				
		01. Радиостанции гражданского диапазона 27МГц(СВ)								
		1.1 Автомобильные и базовые радиостанции диапазона 27МГц								
1610040220.0		Р/ст AnyTone AT-888 134-176МГц, 200 каналов, 60/25/10 Вт, гарантия 1 год	80987		148.6	123.84				
1615040220.0		Р/ст AnyTone AT-888 400-490МГц, 200 каналов, 45/25/10 Вт , гарантия 1 год	80987		148.6	123.84				
86.0		Р/ст AnyTone AT-778UV 136-174/400-490МГц, 200 каналов, 5/15/25Вт VHF, 5/15/25/25Вт UHF, VOX, гарантия 1 год	89925		165	137.5				
88.0		Р/ст AnyTone AT-5189 400-490МГц, 250 каналов, 45/25/10 Вт  Гарантия 1 год!	109332.45000000001		200.61	171.46				
88.0		Р/ст Luiton LT-590 400-490МГц, 200 каналов, 45/25/10 Вт  Гарантия 6 месяцев!	111507		204.6	168.15				
1408120722.0		Р/ст AnyTone AT-588  400-490МГц, 200 каналов, 45/25/10 Вт  Гарантия 12 месяцев!	115469.15000000001		211.87	176.56				
87.0		Р/ст AnyTone AT-5189 134-176МГц, 250 каналов, 60/25/10 Вт  Гарантия 2 года!	111507.00000000001		204.60000000000002	168.15				
89.0		Р/ст HYT TM-610 136-174МГц, 25Вт, 128 Кан.	156616.65		287.37	0				
90.0		Р/ст HYT TM-610 400-470МГц, 25Вт, 128 Кан.	156616.65		287.37	0				
91.0		Р/ст HYT TM-610 136-174МГц, 45Вт, 128 Кан.	163205.7		299.46000000000004	0				
92.0		Р/ст HYT TM-610 400-470МГц, 40Вт, 128 Кан.	163205.7		299.46000000000004	0				
1053170124.0		Р/ст AnyTone AT-588(V)  136-174МГц, 200 каналов, 60/25/10 Вт  Гарантия 12 месяцев!	115469.15000000001		211.87	176.56				
93.0		Р/ст AnyTone AT-588UV 136-174/400-490МГц, 758 каналов, 5/10/20/50Вт VHF, 5/10/25/40Вт UHF  Гарантия 2 года!	173342.7		318.06	270.75				
94.0		2.4 Профессиональные КВ трансиверы								
95.0		Р/ст ICOM IC-78 1.6-29.7МГц (Rx 0.5-30МГц), 100Вт,100 кан.,USB/LSB/CW/RTTY/AM, 13.8 В	239900							
96.0		Р/ст ALINCO DX-SR-08  1.6-29.99МГц (Rx 0.03-35МГц), 100Вт, USB/LSB/CW/AM/FM, 13.8 В	492658.2	457432.12499999994	903.96	839.3249999999999				
97.0		Р/ст ALINCO DX-SR-09 NEW 1.6-29.99МГц (Rx 0.03-35МГц), 100Вт, USB/LSB/CW/AM/FM, SDR,13.8 В	562096.65	521891.99999999994	1031.3700000000001	957.5999999999999				
98.0		2.5 Оборудование ICOM								
99.0		Автоматический антенный КВ тюнер ICOM AT-130 , 1,6…30 МГц,150Вт, КСВ не хуже 2:1								
100.0		Аккумулятор ICOM BP-210N Ni-MH (7.2V-1650mAh) для IC-F3G/4G/30G/40G/F11/21/8								
101.0		Аккумулятор ICOM BP-232H Li-ion (7.4V- 2300 mAh) для IC-F16/F26/F33G/F43G								
102.0		Аккумулятор ICOM BP-264 Ni-MH (7.2V-1400mAh) для IC-F3001/4001/3003								
103.0		Аккумулятор ICOM BP-265 Li-lon (7.4V-1900 mAh) для IC-F3001/F4001/F3003								
104.0		Антенна ICOM AH-710 КВ 1.9-30МГц, с кабелем 30м								
105.0		Антенна портативная ICOM FA-SC57U 430-470МГц для IC-F4/F24/F4001/4003								
106.0		Зарядное уст-во BC-119N для IC-M88 ускоренное								
107.0		Зарядное устройство ICOM BC-144N								
108.0		Кабель для программирования ICOM OPC-478UC								
109.0		Кабель для программирования ICOM OPC-871								
110.0		Кабель питания ICOM OPC-1132								
111.0		Контрольный кабель ICOM OPC-2142 для AT-130								
112.0		Настольное быстрое з/у ICOM BC-160  для IC-F16/F26/F33/F43/F3026/F3063								
113.0		Опциональный кабель ICOM OPC-609								
114.0		Переходник кабеля для программирования ICOM OPC-592								
115.0		Программное обеспечение для IC-7800/7700, IC-9100/7200/R9500								
116.0		Р/ст ICOM IC-78 1.6-29.7МГц (Rx 0.5-30МГц), 100Вт,100 кан.,USB/LSB/CW/RTTY/AM, 13.8 В								
117.0		Р/ст ICOM IC-8100  с распределительной коробкой AD-119								
118.0		Р/ст ICOM IC-F16 146-174MГц, 16кан., 5Вт, Li-Ion 2000 мАч, без з/у								
119.0		Р/ст ICOM IC-F3003 146-174MГц, 16кан., 5Вт, Li-Ion 1900 мАч, индивидуальное зарядное устройство								
120.0		Р/ст ICOM IC-F3036S 146-174MГц, 128кан., 5Вт,  BP-232WP, Li-ion 2250 мАч								
121.0		Р/ст ICOM IC-F3036T 136-174MГц, 128кан., 5Вт,  BP-232WP, Li-ion 2250мАч								
122.0		Р/ст ICOM IC-F4003 400-470MГц, 16кан., 5Вт, Li-Ion 2000 мАч, индивидуальное зарядное устройство								
