Наименование товаров	Розница			
Краткое описание характеристик	KZT			
01. Радиостанции гражданского диапазона 27МГц(СВ)				
LPA-110 Антенна внешняя логопериодческая, 698-960/1710-2700МГц, 11dBi, N-типа	21 713			
AX-Offset D60 рефлектор сетчатый офсетный 60см LTE800/GSM900/LTE1800/LTE2100/UMTS2100/LTE2600/5G	23 413			
AX-Offset D90 рефлектор сетчатый офсетный 90см LTE800/GSM900/LTE1800/LTE2100/UMTS2100/LTE2600/5G	40 592			
AX-2008R антенна 3G всенаправленная внешняя, 8dBi, N-female	27 527			
QX-001H Антенна внешняя направленная Yagi, 13dBi, 890-960МГц, кабель 10м, N-типа	20 650			
QX-002B Антенна внутренняя 890-960/1920-2500Мгц, 7dBi/9dBi, N-типа	26 892			
TC-901N базовая антенна 800/900/1800/1900МГц 83 см, N-тип, с креплением на мачте	32 373			
QX-004H Антенна внешняя направленная, 890-960МГц/1920-2170МГц, 9dBi, N-типа	38 024			
ZETA MIMO 2x2/LTE1800/3G/WIFI антенна ANTEX направленная, панельная/17-20Дб/2*N-female	46 696			
MONA UNIBOX PRO - антенна MIMO с боксом для 3G/4G модема LTE800/GSM900/GSM1800/LTE1800/UMTS900/UMTS2100/WiFi, с USB кабелем 10 метров	49 611			
4.6. Сплиттеры, комбайнеры, ответвители				
QX-014B ответвитель мощности -15дБ, 50Вт , N-типа	15 287			
QX-015B -5дБ ответвитель мощности -5дБ, 100Вт, N-типа	16 214			
QX-015B -10дБ ответвитель мощности -10дБ, 100Вт, N-типа	16 214			
QX-015B -15дБ ответвитель мощности -15дБ, 100Вт, N-типа	16 214			
AXD-2 сплиттер 790-970,1700-2700МГц, 2 выхода, N-типа	15 287			
AXD-3 сплиттер 790-970,1700-2700МГц, 3 выхода, N-типа	20 002			
QX-008B сплиттер 800-2500МГц, 2 выхода, N-типа	16 203			
QX-009B сплиттер 800-2500Мгц, 3 выхода, N-Типа	20 972			
QX-010B сплиттер 800-2500МГц, 4 выхода, N-типа	23 626			
BC-GU H/L комбайнер 900/2100МГц	110 581			
4.7. Антенны прочие и комплектующие для антенн				
Колпачок СВ59/T3-27/NEW DELTA	409			
Антенна укороченная 400-470МГц для StarNet S-200	3 270			
Антенна для Тушкан 403-470МГц	4 415			
Антенна для Climbmax ЕМ-9735 136-174МГц	4 415			
Антенна для Climbmax ЕМ-9735 400-470МГц	4 415			
Антенна для Quansheng TG-A8 400-480МГц	4 415			
Антенна для Quansheng TG-1680 400-480МГц	4 415			
Антенна для Luiton LT-199H 400-480МГц	4 415			
Антенна для Puxing PX-2R 400-470МГц	4 415			
Антенна для Puxing PX-359 400-470МГц	4 415			
Антенна для StarNet S-400 400-480МГц	4 415			
Антенна для AT-628G 400-480МГц	4 415			
Антенна для AT-518/AT-518 Turbo 400-480МГц	4 415			
Антенна для AT-288/АТ-289/AT-289P 400-480МГц	4 415			
Антенна для AT-288/АТ-289/AT-289P 136-174МГц	4 415			
Антенна для AT-3308 (НУКЕР)	4 415			
Антенна для Kirisun PT-260 400-470МГц	4 415			
Антенна для Puxing PX-840s	4 415			
Антенна для Quesum MD-10/MD-100	4414,5			
Антенна для Baofeng UV-5R 136-174/400-480МГц	4 905			
Антенна для Quansheng UV-K5, UV-K5(8), UV-K6 136-174/400-480МГц	4 905			
Антенна удлиненная универсальная 38 см 3.5dBi 400-470МГц SMA-M	4 905			
Антенна удлиненная универсальная 38 см 3.5dBi 144/430МГц SMA-M	5 723			
Антенна для AT-3318UV 136-174/400-480МГц двухдиапазонная	5 886			
Антенна для ST-118 27МГц спиральная 0.2м BNC	7 848			
Коннектор "N" антенный для Sirio Super 9 Blue Line	2 120			
Коннектор "NE" антенный 	1 924			
Коннектор "TURBO" антенный для Sirio Turbo/Performer	2 502			
Катушка СВ145 без штыря	6 813			
Штырь 0.9 метра с катушкой для СВ2319	6 213			
Штырь 1.8х3х1000 мм	3 376			
Штырь 1.8х3х1100 мм	3 555			
Штырь 1.8х3х1200 мм	3 733			
Штырь 1.8х3х1400 мм	4 088			
Штырь 1.8х3х1500 мм	4 444			
Штырь 1,6 метра для СВ2309/2315/145/Sirio Super 9	4 807			
Штырь 2 метра для СВ2307/СВ2312	7 521			
Кабель 4м UHF-DV для СВ59/2315/2309/Sirio 9	5 995			
Крепление для СВ2309/2315/145/Sirio Super 9	4 905			
Крепление для  СВ2307/СВ2312	5 908			
Кабель 4м NMO UHF	6 540			
MT-1303 магнитное основание 14 см с кабелем 3,6 метра и разъемом PL259	11 772			
MAG 125 PL магнитное основание 12 см с кабелем 3.6 м и разъемом UHF	11 772			
Кабель 4м UHF с креплением на багажник	9 810			
MT-1310 Магнитное крепление 77мм NMO + Кабель 4м UHF	9 810			
Кабель 4м NMO с креплением на багажник	9 810			
